setname,name,region,version,alternative,parent_title,platform,series,homebrew,bootleg,year,manufacturer,category,linebreak1,resolution,rotation,flip,linebreak2,players,move_inputs,special_controls,num_buttons
1941,"1941- Counter Attack (W, 900227)",World,900227,no,,Capcom CPS-1,19XX,no,no,1990,Capcom,Shooter - Vertical,,15kHz,vertical (ccw),yes,,2 (simultaneous),8-way,,2
1942,"1942 (W, Rev B)",World,Rev B,no,,Capcom CPS-0,19XX,no,no,1984,Capcom,Shooter - Vertical,,15kHz,vertical (ccw),yes,,2 (simultaneous),8-way,,2
1943,1943- The Battle of Midway (EU),Europe,,no,,Capcom CPS-0,19XX,no,no,1987,Capcom,Shooter - Vertical,,15kHz,vertical (cw),yes,,2 (simultaneous),8-way,,3
1944,"1944- The Loop Master (EU, 000620)",Europe,000620,no,,Capcom CPS-2,19XX,no,no,2000,Eighting / Raizing / Capcom,Shooter - Vertical,,15kHz,horizontal,yes,,2 (simultaneous),8-way,n/a,2
1941j,1941- Counter Attack (JP),Japan,,yes,1941- Counter Attack,Capcom CPS-1,19XX,no,no,1990,Capcom,Shooter - Vertical,,15kHz,vertical (ccw),yes,,2 (simultaneous),8-way,,2
1941r1,1941- Counter Attack (W),World,,yes,1941- Counter Attack,Capcom CPS-1,19XX,no,no,1990,Capcom,Shooter - Vertical,,15kHz,vertical (ccw),yes,,2 (simultaneous),8-way,,2
1941u,"1941- Counter Attack (US, 900227)",USA,900227,yes,1941- Counter Attack,Capcom CPS-1,19XX,no,no,1990,Capcom,Shooter - Vertical,,15kHz,vertical (ccw),yes,,2 (simultaneous),8-way,,2
1942a,1942 (Rev A),,Rev A,yes,1942,Capcom CPS-0,19XX,no,no,1984,Capcom,Shooter - Vertical,,15kHz,vertical (ccw),yes,,2 (simultaneous),8-way,,2
1942b,1942 (First Version),,First Version,yes,1942,Capcom CPS-0,19XX,no,no,1984,Capcom,Shooter - Vertical,,15kHz,vertical (ccw),yes,,2 (simultaneous),8-way,,2
1942c64,1942 (C64 BGM) [hb],,C64 BGM,yes,1942,Capcom CPS-0,19XX,yes,no,1984,Capcom,Shooter - Vertical,,15kHz,vertical (ccw),yes,,2 (simultaneous),8-way,,2
