setname,name,region,version,alternative,platform,series,homebrew,bootleg,year,manufacturer,category,linebreak1,rotation,flip,resolution,linebreak2,players,joystick,special_controls,buttons,linebreak3
280zzzap,280Z-ZZAP (US),USA,,,,,no,no,1976,Dave Nutting Associates / Midway,Racing,,horizontal,,15kHz,,1,,paddle,0,
4dwarrio,4-D Warriors (315-5162),,315-5162,,Sega System 1,,no,no,1985,Sega,Shooter - Horizontal,,horizontal,,15kHz,,2 (alternating),4-way,,2,
abortman,Abortman,,,Pac-Man,,,no,no,1980,Atari,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
aerolitos,Aerolitos (Spanish),,Spanish,Asteroids,,,no,no,1980,Atari,Shooter - Multidirectional,,horizontal,,31kHz,,1,2-way horizontal,,3,
alibaba,Ali Baba and 40 Thieves,,,,,,no,no,1982,Sega,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,1,
alienaru,Alien Arena (Stargate upgrade),,Stargate upgrade,,,,no,no,1985,Duncan Brown,Arena,,horizontal,,15kHz,,2 (alternating),8-way,,2,
maze,Amazing Maze,,,,,,no,no,1976,Midway,Maze,,horizontal,,15kHz,,2 (alternating),8-way,,0,
amidars,Amidar (Scramble),,Scramble,,,,no,no,1982,Konami,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,1,
andromd,Andromeda [hb],,,Galaxian,,,yes,no,1979,hack,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
anteater,Anteater,,,,,,no,no,1982,Tago Electronics,Maze,,vertical (cw),yes,15kHz,,1,4-way,,1,
aponow,Apocaljpse now (Rescue) [bl],,Rescue,Rescue,,,no,yes,1982,,Shooter - Horizontal,,vertical (cw),yes,15kHz,,2 (alternating),8-way,twin stick,4,
arkangc,"Arkanoid (Game Corporation, Set 1) [bl]",,"Game Corporation, Set 1",Arkanoid,,,no,yes,1986,Taito,Ball and Paddle,,vertical (cw),yes,15kHz,,2 (alternating),,spinner,1,
arkangc2,"Arkanoid (Game Corporation, Set 2) [bl]",,"Game Corporation, Set 2",Arkanoid,,,no,yes,1986,Taito,Ball and Paddle,,vertical (cw),yes,15kHz,,2 (alternating),,spinner,1,
arkanoidj,Arkanoid (JP),Japan,,,,,no,no,1986,Taito,Ball and Paddle,,vertical (cw),yes,15kHz,,2 (alternating),,spinner,1,
arktayt2,"Arkanoid (Tayto, Harder) [bl]",,"Tayto, Harder",Arkanoid,,,no,yes,1986,Taito,Ball and Paddle,,vertical (cw),yes,15kHz,,2 (alternating),,spinner,0,
arkatayt,Arkanoid (Tayto) [bl],,Tayto,Arkanoid,,,no,yes,1986,Taito,Ball and Paddle,,vertical (cw),yes,15kHz,,2 (alternating),,spinner,1,
arkanoid,"Arkanoid (Unl. Lives, slower) [hb]",,"Unl. Lives, slower",,,,yes,no,1986,Taito,Ball and Paddle,,vertical (cw),yes,15kHz,,2 (alternating),,spinner,1,
