setname,name,region,version,alternative,parent_title,platform,series,homebrew,bootleg,year,manufacturer,category,linebreak1,rotation,flip,resolution,linebreak2,players,joystick,special_controls,buttons,linebreak3
280zzzap,280Z-ZZAP (US),USA,,no,,,,no,no,1976,Dave Nutting Associates / Midway,Racing,,horizontal,,15kHz,,1,,paddle,0,
4dwarrio,4-D Warriors (315-5162),,315-5162,no,,Sega System 1,,no,no,1985,Sega,Shooter - Horizontal,,horizontal,,15kHz,,2 (alternating),4-way,,2,
abortman,Abortman,,,yes,Pac-Man,,,no,no,1980,Atari,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
aerolitos,Aerolitos (Spanish),,Spanish,yes,Asteroids,,,no,no,1980,Atari,Shooter - Multidirectional,,horizontal,,31kHz,,1,2-way horizontal,,3,
alibaba,Ali Baba and 40 Thieves,,,no,,,,no,no,1982,Sega,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,1,
alienaru,Alien Arena (Stargate upgrade),,Stargate upgrade,no,,,,no,no,1985,Duncan Brown,Arena,,horizontal,,15kHz,,2 (alternating),8-way,,2,
maze,Amazing Maze,,,no,,,,no,no,1976,Midway,Maze,,horizontal,,15kHz,,2 (alternating),8-way,,0,
amidars,Amidar (Scramble),,Scramble,no,,,,no,no,1982,Konami,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,1,
andromd,Andromeda [hb],,,yes,Galaxian,,,yes,no,1979,hack,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
anteater,Anteater,,,no,,,,no,no,1982,Tago Electronics,Maze,,vertical (cw),yes,15kHz,,1,4-way,,1,
aponow,Apocaljpse now (Rescue) [bl],,Rescue,yes,Rescue,,,no,yes,1982,,Shooter - Horizontal,,vertical (cw),yes,15kHz,,2 (alternating),8-way,twin stick,4,
arkangc,"Arkanoid (Game Corporation, Set 1) [bl]",,"Game Corporation, Set 1",yes,Arkanoid,,,no,yes,1986,Taito,Ball and Paddle,,vertical (cw),yes,15kHz,,2 (alternating),,spinner,1,
arkangc2,"Arkanoid (Game Corporation, Set 2) [bl]",,"Game Corporation, Set 2",yes,Arkanoid,,,no,yes,1986,Taito,Ball and Paddle,,vertical (cw),yes,15kHz,,2 (alternating),,spinner,1,
arkanoidj,Arkanoid (JP),Japan,,no,,,,no,no,1986,Taito,Ball and Paddle,,vertical (cw),yes,15kHz,,2 (alternating),,spinner,1,
arktayt2,"Arkanoid (Tayto, Harder) [bl]",,"Tayto, Harder",yes,Arkanoid,,,no,yes,1986,Taito,Ball and Paddle,,vertical (cw),yes,15kHz,,2 (alternating),,spinner,0,
arkatayt,Arkanoid (Tayto) [bl],,Tayto,yes,Arkanoid,,,no,yes,1986,Taito,Ball and Paddle,,vertical (cw),yes,15kHz,,2 (alternating),,spinner,1,
arkanoid,"Arkanoid (Unl. Lives, slower) [hb]",,"Unl. Lives, slower",no,,,,yes,no,1986,Taito,Ball and Paddle,,vertical (cw),yes,15kHz,,2 (alternating),,spinner,1,
arkanoiduo,"Arkanoid (US, Older)",USA,Older,no,,,,no,no,1986,Taito,Ball and Paddle,,vertical (cw),yes,15kHz,,2 (alternating),,spinner,1,
arkanoid,Arkanoid (W),World,,no,,,,no,no,1986,Taito,Ball and Paddle,,vertical (cw),yes,15kHz,,2 (alternating),,spinner,1,
armorcar,Armored Car,,,no,,,,no,no,1981,Stern,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,2,
armorcar2,Armored Car (Set 2),,Set 2,yes,Armored Car,,,no,no,1981,Stern,Maze,,vertical (cw),no,15kHz,,2 (alternating),4-way,,2,
asterock,Asterock (Sidam) [bl],,Sidam,yes,Asteroids,,,no,yes,1979,Atari,Shooter - Multidirectional,,horizontal,,31kHz,,1,2-way horizontal,,3,
asterockv,Asterock (Videotron) [bl],,Videotron,yes,Asteroids,,,no,yes,1979,Atari,Shooter - Multidirectional,,horizontal,,31kHz,,1,2-way horizontal,,3,
asteroid6,Asteroids (6 Bullet) [hb],,6 Bullet,yes,Asteroids,,,yes,no,1979,Atari,Shooter - Multidirectional,,horizontal,,31kHz,,1,2-way horizontal,,3,
asteroid1,Asteroids (Rev 1),,Rev 1,yes,Asteroids,,,no,no,1979,Atari,Shooter - Multidirectional,,horizontal,,31kHz,,1,2-way horizontal,,3,
asteroid2,Asteroids (Rev 2),,Rev 2,yes,Asteroids,,,no,no,1979,Atari,Shooter - Multidirectional,,horizontal,,31kHz,,1,2-way horizontal,,3,
asteroid,Asteroids (Rev 4),,,no,,,Asteroids,,,1979,Atari,Shooter - Multidirectional,,horizontal,,31kHz,,2 (alternating),8-way,,3,
astdelux1,Asteroids Deluxe (Rev 1),,Rev 1,yes,Asteroids Deluxe,,,no,no,1980,Atari,Shooter - Multidirectional,,horizontal,,31kHz,,1,2-way horizontal,,3,
astdelux2,Asteroids Deluxe (Rev 2),,Rev 2,yes,Asteroids Deluxe,,,no,no,1980,Atari,Shooter - Multidirectional,,horizontal,,31kHz,,1,2-way horizontal,,3,
a.astdeluxe,Asteroids Deluxe (Rev 3),,,no,,,,no,no,1980,Atari,Shooter - Multidirectional,,horizontal,,31kHz,,2 (alternating),8-way,,3,
astdelux4,Asteroids Deluxe [hb],,,yes,Asteroids Deluxe,,,yes,no,1980,Atari,Shooter - Multidirectional,,horizontal,,31kHz,,1,2-way horizontal,,3,
astrians,Astrians (Swarm) [bl],,Swarm,yes,Galaxian,,,no,yes,1980,BGV Ltd.,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
astrofl,Astro Flash (Japan),Japan,,no,,Sega System E,,no,no,1986,Sega,Shooter - Horizontal,,horizontal,,15kHz,,1,8-way,,2,
astroped,Astropede [hb],,,yes,Centipede,,,yes,no,1980,Atari,Shooter - Gallery,,vertical (ccw),no,15kHz,,1,,trackball,1,
astropd2,Astropede II [hb],,,yes,Centipede,,,yes,no,1980,Atari,Shooter - Gallery,,vertical (ccw),no,15kHz,,1,,trackball,1,
asideral,"Ataque Sideral (Spanish, UniWar S) [bl]",,"Spanish, UniWar S",yes,UniWar S,,,no,yes,1980,Electrogame S.A.,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
attackfc,Attack Force,,,no,,,,no,no,1979,Electronic Games Systems,Shooter - Gallery,,horizontal,,15kHz,,1,2-way horizontal,,1,
avefenix,"Ave Fenix (Electrogame, Spanish, Phoenix) [bl]",,"Electrogame, Spanish, Phoenix",yes,Phoenix,,,no,yes,1980,Video Game,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
avefenixl,"Ave Fenix (Laguna, Spanish, Phoenix) [bl]",,"Laguna, Spanish, Phoenix",yes,Phoenix,,,no,yes,1980,Laguna,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
avefenixrf,"Ave Fenix (Recreativos Franco, Spanish, Phoenix) [bl]",,"Recreativos Franco, Spanish, Phoenix",yes,Phoenix,,,no,yes,1980,Recreativos Franco S.A.,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
azurian,Azurian Attack,,,no,,,,no,no,1982,Rait Electronics Ltd,Shooter - Multidirectional,,vertical (cw),yes,15kHz,,2 (alternating),8-way,,2,
